Evergreens;Seattle, Wash.;24;130,5 %;26;116,7 %;1150;No;Evergreens
Clean Juice;Charlotte, N.C.;44;121,9 %;105;94,4 %;560;Yes;Clean Juice
Slapfish;Huntington Beach, Calif.;21;81,0 %;21;90,9 %;1370;Yes;Slapfish
Clean Eatz;Wilmington, N.C.;25;79,7 %;46;58,6 %;685;Yes;Clean Eatz
Pokeworks;Irvine, Calif.;49;77,1 %;50;56,3 %;1210;Yes;Pokeworks
Playa Bowls;Belmar,  N.J.;39;62,9 %;76;28,8 %;580;Yes;Playa Bowls
The Simple Greek;Blue Bell, Pa.;24;52,5 %;36;33,3 %;775;Yes;The Simple Greek
Melt Shop;New York, N.Y.;20;39,6 %;19;35,7 %;1260;Yes;Melt Shop
Creamistry;Yorba Linda,  Calif.;24;36,8 %;60;27,7 %;465;Yes;Creamistry
Evergreens;Seattle, Wash.;24;130,5 %;26;116,7 %;1150;No;Evergreens
